Package_Name,Total_Paths,Total_Error,Total_ File_Descriptor,Python_Related_Keywords,Install_Package_Keywords,Root_DIR_Installation,Temporary_DIR_Installation,Home_DIR_Installation,User_Access,Sys_Access,Etc_DIR_Installation,Other_DIR_Installation,Level
httpxboost-1.0.tar.gz,79368,79368,27,1077,2981,0,41,768,1093,132,225,77109,1
httpxc-0.0.1.tar.gz,28734,28734,31,1960,3145,0,108,1410,1205,92,222,25697,1
httpxfaster-1.0.tar.gz,12345,12345,32,4127,5134,501,68,2809,1338,1289,302,6038,1
httpxgetter-1.0.tar.gz,28003,28003,32,890,3006,0,25,728,794,85,156,26215,1
httpxmodifier-1.0.tar.gz,28508,28508,26,890,3028,0,26,725,795,83,157,26722,1
httpx-ntlm,10551,10551,26,117,1375,0,0,4,245,1186,192,8924,0
httpxo,29214,29214,22,1641,5282,497,7,475,1124,813,498,25800,0
httpx-oauth,6051,6051,41,910,2259,4,139,569,570,1087,227,3455,0
httpxontop-1.0.tar.gz,52839,52839,31,5163,12328,508,70,3376,4639,975,2958,40313,1
httpxrequester-1.0.tar.gz,2242,2242,14,50,1034,0,9,15,55,111,17,2035,1
httpxrequesterv2-1.0.tar.gz,30234,30234,51,1040,3781,4,27,771,1051,84,248,28049,1
httpxs-0.0.1.tar.gz,16022,16022,27,5586,5723,501,225,3826,1859,1276,300,8035,1
httpxy,40563,40563,46,1760,7246,4,783,324,1425,1201,741,36085,0
httpy-client,7907,7907,57,1505,2713,4,122,847,1085,1219,302,4328,0
httpython,5730,5730,27,1155,1358,2,83,962,472,1245,151,2815,0
httreplay,3691,3691,14,585,513,0,77,325,370,1179,124,1616,0
httrip,52816,52816,20,14,2241,0,4,20,465,932,155,51240,0
hubitatcontrol,57894,57894,29,2341,5804,499,76,965,1770,1241,702,52641,0
huehuehuehue-0.0.0.tar.gz,2410,2410,8,305,1022,0,38,223,51,106,8,1984,1
huge,59003,59003,28,2807,6151,497,78,1410,1545,826,581,54066,0
hugebbc-0.0.0.tar.gz,74685,74685,39,4424,5682,0,117,4316,1710,114,225,68203,1
hugedict,55695,55695,27,887,3778,0,11,430,1524,1251,757,51722,0
huggingface-hub,938,938,24,462,524,0,35,388,268,68,43,136,0
huluquests-0.0.1.tar.gz,2636,2636,14,394,1318,0,31,123,278,120,24,2060,1
huluquests-0.0.3.tar.gz,3112,3112,15,800,1359,0,66,532,236,112,26,2140,1
humanfriendly,1276,1276,26,249,492,0,22,196,303,117,61,577,0
human-learn,12245,12245,24,362,2748,0,4,117,639,901,476,10108,0
humann,3475,3475,16,335,536,0,2,295,415,1111,124,1528,0
humanqueen-0.0.5.tar.gz,7996,7996,40,2987,2808,0,346,2040,1395,1308,138,2769,1
humanqueenn-0.0.2.tar.gz,9873,9873,42,2843,4347,0,360,1987,1313,1310,144,4759,1
human-regex,11313,11313,47,1014,2255,12,76,361,1397,1216,497,7754,0
hunter,455,455,12,10,117,0,10,1,57,50,57,280,0
hvac,659,659,16,166,182,0,55,94,257,50,54,149,0
Hydra,5457,5457,14,1505,1506,0,262,621,1488,1210,112,1764,0
hydra-base,1742,1742,16,14,1318,0,4,4,31,123,16,1564,0
hydrachain,3027,3027,31,2046,884,0,434,1087,804,76,67,559,0
hydraflask,8713,8713,19,142,2258,0,5,102,308,235,50,8013,0
hydra-framework,2054,2054,47,814,882,3,144,637,318,57,89,806,0
hydragame-1.42.tar.gz,70062,70062,26,5244,10068,443,69,3415,5525,537,800,59273,1
hydragen,7982,7982,27,14,2060,0,4,4,170,240,108,7456,0
hydraget-10.25.tar.gz,85072,85072,30,5385,10786,515,71,3489,6531,763,1785,71918,1
hydraget-6.49.tar.gz,63441,63441,33,3846,9180,503,50,2243,5100,1054,543,53948,1
HydraGNN,15567,15567,30,1386,2737,0,268,669,667,1232,187,12544,0
hydragui-1.36.tar.gz,68227,68227,57,5371,12121,516,65,3491,5672,1094,661,56728,1
hydragui-1.98.tar.gz,2234,2234,13,66,1014,0,16,19,36,110,16,2037,1
hydrahttp-3.97.tar.gz,26456,26456,30,3521,4297,0,38,3712,890,72,159,21585,1
hydrahydra-3.94.tar.gz,25657,25657,31,3579,4375,0,38,3831,933,72,163,20620,1
hydrainfo-1.96.tar.gz,16487,16487,37,2153,4920,0,38,2366,1361,69,155,12498,1
hydraintel-3.59.tar.gz,28705,28705,30,5100,5727,497,44,4464,1483,76,247,21894,1
hydraintel-6.97.tar.gz,27233,27233,51,3712,5124,4,40,3942,1147,76,255,21769,1
hydralette,1304,1304,12,14,1012,0,4,4,18,9,8,1261,0
hydralib-10.34.tar.gz,25221,25221,30,3584,4480,0,38,3937,872,72,169,20133,1
hydralib-3.98.tar.gz,24379,24379,34,3587,4529,0,38,3933,874,75,171,19288,1
hydralisk,6772,6772,21,1541,3491,497,26,503,890,709,451,3696,0
hydralit,10926,10926,43,3540,4521,8,17,3159,947,1232,320,5243,0
hydraload-1.64.tar.gz,26053,26053,25,259,3635,0,5,9,690,278,489,24582,1
hydramask-4.79.tar.gz,42524,42524,61,4120,8241,505,29,2708,2299,1292,367,35324,1
hydramine-6.59.tar.gz,58805,58805,28,698,2582,0,34,449,1000,1328,258,55736,1
hydraml,31085,31085,24,2501,5377,501,30,1225,1532,1130,607,26060,0
hydrant,4201,4201,18,0,2111,0,0,0,44,119,20,4018,0
hydrapaypal-7.53.tar.gz,10070,10070,29,1536,3734,0,25,1260,606,900,398,6881,1
hydrapep-4.2.tar.gz,50096,50096,48,2396,3707,4,39,1867,1200,83,262,46641,1
hydraping-1.72.tar.gz,2220,2220,13,8,965,0,6,3,8,113,19,2071,1
hydra-profiler,1159,1159,16,731,533,0,205,356,238,50,96,214,0
hydraproof-10.82.tar.gz,25321,25321,27,1219,2848,0,38,849,933,87,203,23211,1
hydrapy,25471,25471,23,242,3406,0,4,9,669,576,464,23749,0
hydrapyw-10.51.tar.gz,80869,80869,37,2151,4230,0,39,1807,1788,139,288,76808,1
hydrapyxl,16451,16451,22,133,2437,0,5,97,400,273,327,15349,0
hydrarand-2.84.tar.gz,28626,28626,38,2144,4142,0,38,1823,1495,89,210,24971,1
hydra-rhl,2512,2512,8,0,1973,0,0,0,8,2,4,2498,0
Hydras,48271,48271,47,694,4581,9,41,277,1168,1245,381,45150,0
hydraspa,3238,3238,22,115,316,0,5,95,197,1130,116,1695,0
hydrastr-4.71.tar.gz,77114,77114,27,2151,3181,0,38,1838,1159,128,281,73670,1
hydrastudy-5.66.tar.gz,28163,28163,28,2250,3114,0,38,1975,880,80,146,25044,1
hydrat,5364,5364,21,1658,1039,0,371,786,681,1101,134,2291,0
hydrate,2544,2544,27,88,1637,0,5,59,91,138,29,2222,0
hydrating,1633,1633,15,14,1242,0,4,4,31,110,16,1468,0
hydratool-3.36.tar.gz,88272,88272,29,6460,5541,503,50,5100,2038,132,327,80122,1
hydrator,5900,5900,21,18,2369,0,4,8,333,577,423,4555,0
hydra-ui,75125,75125,28,1076,4010,0,12,568,1775,1195,675,70900,0
hydraulic,34539,34539,24,639,3833,0,140,121,1152,907,705,31514,0
hydraurl-5.46.tar.gz,28183,28183,31,2249,3184,0,39,2043,847,84,150,25020,1
hydravirtual-6.1.tar.gz,30847,30847,28,3514,3716,0,38,3288,856,80,153,26432,1
hydravisa-3.95.tar.gz,75156,75156,34,3531,3869,0,38,3340,1095,112,211,70360,1
hydrazine,33437,33437,23,242,3257,0,4,9,758,587,539,31540,0
hydroinform,5580,5580,23,398,2322,0,5,328,327,342,66,4512,0
hydrointerp,57211,57211,31,2978,5602,497,142,1490,1893,1236,690,51263,0
hydrolib,10634,10634,22,337,2474,0,4,144,716,455,445,8870,0
hydroloader,20151,20151,36,876,2682,0,171,335,483,1224,180,17758,0
hydrosar,4237,4237,27,924,936,0,195,519,425,1185,112,1801,0
hydrotools,50639,50639,42,3328,7572,501,102,1675,2284,100,751,45226,0
hydrotools.gcp-client,54801,54801,33,2843,5700,497,117,1384,1809,1270,639,49085,0
hyload,5092,5092,18,247,2198,0,5,206,281,231,46,4323,0
hymcapi-1.0.0-py3-none-any.tar.gz,41761,41761,34,630,1956,0,17,607,4109,1086,3462,32480,1
hypixel,11737,11737,21,337,2636,0,5,238,627,445,419,10003,0
hypixel-api-py,50837,50837,20,851,2655,0,8,760,687,107,187,49088,0
hypixel-coins-1.0.tar.gz,30344,30344,33,3255,3747,0,27,3138,940,82,157,26000,1
hypixelmc-1.0.8-py3-none-any.tar.gz,71588,71588,25,4828,10107,515,50,3101,5353,538,802,61229,1
hypixel-networth-api-0.1.2.tar.gz,3287,3287,8,1115,1646,0,125,801,216,103,23,2019,1
hypixelpy,55620,55620,27,4206,6886,497,211,2601,1990,1238,771,48312,0
hyprland,9080,9080,21,1842,4018,497,27,837,940,596,314,5869,0
iam,35560,35560,48,1066,4171,11,10,631,1138,87,314,33369,0
iam-enumerate-1.0.1.tar.gz,6485,6485,47,1128,2445,6,194,512,986,1272,217,3298,1
iaohttp-0.1.tar.gz,34040,34040,36,12311,13978,1280,115,9409,2205,947,519,19565,1
ibmodules,11424,11424,23,1313,2585,0,109,811,575,499,73,9357,0
ibmsecurity,3534,3534,21,64,286,0,54,4,175,1183,132,1986,0
ibmsupervisor,21918,21918,49,1698,3892,4,132,797,1099,1221,302,18363,0
ibsplib,24892,24892,26,1283,2870,0,126,780,720,1228,211,21827,0
ibstract,7314,7314,39,2094,3263,4,121,1773,575,1216,213,3412,0
ibtcoinlib-0.1.tar.gz,3025,3025,16,735,1715,0,19,652,100,238,35,1981,1
ibuprofen,4510,4510,29,1232,694,0,114,754,597,1128,122,1795,0
icedgen-0.0.0.tar.gz,15795,15795,29,1575,3927,0,74,1242,731,1299,486,11963,1
iCypress,5276,5276,18,1834,1315,0,511,980,523,1228,122,1912,0
identify,2061,2061,48,257,976,3,21,180,365,62,107,1323,0
idgen,56236,56236,20,295,2704,0,25,121,606,1160,236,54088,0
idna,1078,1078,22,281,416,0,22,230,268,71,61,426,0
idscord-py-0.1.tar.gz,38539,38539,29,4292,6133,892,112,1904,1896,950,511,32274,1
idscord-webhook-0.1.tar.gz,5658,5658,24,1122,2770,44,85,741,517,468,352,3451,1
idtotoken-0.0.1.tar.gz,19847,19847,25,1552,4284,0,29,1252,699,524,446,16897,1
iencode-ng,6099,6099,23,2977,3117,0,195,2207,688,459,67,2483,0
igetui,21726,21726,40,2263,5613,106,950,791,1166,69,209,18435,0
igo-python,4832,4832,15,18,2374,0,4,4,78,230,29,4487,0
igtool-0.0.2.3.tar.gz,23507,23507,20,1060,3910,1,28,519,882,370,450,21257,1
igtoolz-4.5.2.tar.gz,21508,21508,23,4021,6178,979,83,1595,1755,591,459,16046,1
igtpython-0.1.tar.gz,13389,13389,25,5676,6799,1237,91,2784,2107,468,468,6234,1
iiris-new-2.0.16.tar.gz,8847,8847,29,4930,3817,501,137,3425,1394,1270,219,1901,1
ijoawuoijhwad,8954,8954,31,4873,4223,0,81,4758,386,1194,117,2418,0
ijsfhsf123,11491,11491,24,8202,7651,0,195,7650,530,1185,109,1822,0
iliantest,3309,3309,21,249,375,0,5,209,206,1184,96,1609,0
ImageResolver,5954,5954,41,880,2101,4,160,327,762,1211,224,3266,0
imagesize,935,935,23,43,494,0,6,25,43,70,22,769,0
imagesolverpy-1.0.tar.gz,7858,7858,30,3924,3429,501,38,2699,1142,1285,217,1976,1
imagingcontrol4,47388,47388,24,2995,5553,497,30,1599,1764,95,608,42795,0
imapping-0.1.2-py3-none-any.tar.gz,5653,5653,43,222,1920,4,5,9,560,1279,210,3586,1
imbalanced-learn,8672,8672,40,761,3829,4,59,479,586,63,130,7351,0
imbibed,22105,22105,30,1638,4904,0,321,739,898,1136,269,18742,0
impi-devel,42554,42554,22,1906,5206,497,26,677,1476,85,550,39243,0
implejson-0.1.tar.gz,5673,5673,16,345,3211,0,5,3,439,120,90,5016,1
important,11906,11906,16,2102,3784,0,58,1965,372,61,61,9389,0
important_package-0.0.10.tar.gz,12506,12506,22,1911,2925,2,106,1393,812,915,170,9108,1
important_package-0.0.7.tar.gz,20492,20492,46,3775,6417,6,114,2785,1732,1298,560,13997,1
important_package-0.0.8.tar.gz,26897,26897,29,2665,4637,0,73,2139,969,1280,446,21990,1
important_package-0.0.9.tar.gz,24785,24785,31,2660,4635,0,68,2145,952,1162,429,20029,1
important_package-0.1.0.tar.gz,16420,16420,24,5351,5707,501,113,3816,1525,881,267,9317,1
important_package-0.1.1.tar.gz,8775,8775,26,4504,3226,503,115,2819,1741,1274,237,2086,1
important_package-0.1.10.tar.gz,6626,6626,39,1748,2177,0,106,1278,1340,1293,132,2477,1
important_package-0.1.11.tar.gz,42902,42902,26,1509,4149,0,54,1009,1080,690,554,39515,1
important_package-0.1.12.tar.gz,35443,35443,27,3290,5519,4,69,2707,1378,1167,597,29521,1
important_package-0.1.13.tar.gz,22417,22417,34,5297,6425,501,77,3596,1992,1346,617,14288,1
important_package-0.1.14.tar.gz,22450,22450,25,5970,7508,501,91,4246,1972,1286,611,13743,1
important_package-0.1.15.tar.gz,44766,44766,22,6795,7613,505,154,4484,3064,1313,996,34250,1
important_package-0.1.16.tar.gz,30819,30819,24,1741,4479,0,54,1239,1059,791,610,27066,1
important_package-0.1.17.tar.gz,6819,6819,44,1347,2517,4,49,895,757,1297,218,3599,1
important_package-0.1.2.tar.gz,19052,19052,28,2779,4694,0,69,2236,1167,1283,466,13831,1
important_package-0.1.20.tar.gz,9034,9034,24,5037,3925,501,71,3586,1349,1285,228,2014,1
important_package-0.1.21.tar.gz,45560,45560,27,5781,7601,448,136,3846,2617,1055,841,36617,1
important_package-0.1.3.tar.gz,39198,39198,32,9078,10070,949,147,5821,4151,1316,917,25897,1
important_package-0.1.4.tar.gz,34712,34712,30,3544,5921,8,88,2455,2139,947,745,28330,1
important_package-0.1.5.tar.gz,11036,11036,45,2647,5210,4,60,2135,1037,1159,523,6118,1
important_package-0.1.6.tar.gz,5427,5427,20,1139,1858,0,48,895,379,1146,113,2846,1
important_package-0.1.7.tar.gz,8063,8063,27,4166,3420,499,61,2774,1151,1270,208,2100,1
important_package-0.1.8.tar.gz,65187,65187,33,2533,5298,4,115,1771,1981,1333,793,59190,1
important_package-0.1.9.tar.gz,71412,71412,29,1458,3514,0,90,1142,813,1326,282,67759,1
importantpackage-0.1.22.tar.gz,28599,28599,37,2774,3345,0,110,2214,1182,977,282,23834,1
importantpackage-0.1.23.tar.gz,64855,64855,44,2776,4552,0,110,2238,1938,1026,351,59192,1
importantpackage-0.1.24.tar.gz,67878,67878,33,10550,7583,508,150,8803,2465,726,653,54573,1
importantpackage-0.1.25.tar.gz,44423,44423,34,10664,7727,515,141,8734,2500,603,676,31254,1
importantpackage-0.1.26.tar.gz,65355,65355,41,10685,8920,515,142,8795,3096,1011,666,51130,1
importantpackage-0.1.27.tar.gz,55040,55040,25,9360,8198,1082,64,7161,2265,615,626,43227,1
importantpackage-0.1.28.tar.gz,32127,32127,23,1440,4024,567,33,650,991,982,299,28605,1
importantpackage-0.1.29.tar.gz,34934,34934,48,9262,7966,1086,64,7159,2315,505,671,23134,1
importantpackage-0.1.30.tar.gz,83779,83779,26,1439,4160,567,32,688,1252,1020,365,79855,1
importantpackage-0.2.1.tar.gz,31655,31655,25,1439,4026,567,31,666,986,976,296,28133,1
importantpackage-0.2.2.tar.gz,80660,80660,22,1439,4167,567,31,685,1240,1016,363,76758,1
importantpackage-0.2.3.tar.gz,27688,27688,55,1003,4803,4,26,655,1658,974,301,24070,1
importantpackage-0.2.4.tar.gz,31710,31710,32,1392,3229,0,80,1000,1116,973,294,28247,1
importlib_metadate-99.99.tar.gz,79386,79386,37,886,4083,0,32,591,1914,1031,358,75460,1
importlib-metadata,5624,5624,20,2038,2228,0,144,1865,215,1214,122,2064,0
importlib-resources,999,999,24,283,399,0,22,227,143,66,58,483,0
importscraper-0.9.0-py3-none-any.tar.gz,26202,26202,27,623,2701,0,17,440,819,977,202,23747,1
imreplace,4836,4836,27,1200,745,0,101,806,552,1128,147,2102,0
imspy-connector,4723,4723,17,163,1381,896,72,22,209,1180,703,1641,0
inbm-lib-14543.5.2.tar.gz,9319,9319,20,967,3329,1,42,656,519,259,353,7489,1
IncapError-7.0.0.tar.gz,15848,15848,36,2331,5180,80,111,1529,1263,1231,524,11110,1
incomevis,23658,23658,33,680,4147,0,58,305,677,1217,263,21138,0
incrivelsim-0.0.1.tar.gz,30669,30669,38,1972,4252,0,149,1387,1732,980,229,26192,1
inda-1.0.tar.gz,28620,28620,31,883,2967,0,28,643,933,977,219,25820,1
indiatools,14847,14847,25,1271,2833,0,120,778,616,920,123,12290,0
infer,16110,16110,26,1286,2768,0,176,739,515,62,66,14552,0
infercode,3938,3938,24,611,543,0,113,333,311,1193,100,1888,0
inflection,3114,3114,18,0,1080,0,1,0,42,124,72,2875,0
infocircle,34063,34063,35,3327,5561,0,99,2741,598,1232,203,29190,0
infoglmi-0.0.1.tar.gz,18541,18541,24,6632,7376,1280,124,3581,2307,813,540,9896,1
infoglmi-0.0.3.tar.gz,37188,37188,27,6981,8428,1266,120,3727,2749,1190,708,27428,1
infoglmi-0.0.4.tar.gz,11038,11038,25,1385,3232,0,50,1115,561,1180,282,7850,1
infoglmi-0.0.5.tar.gz,28522,28522,28,2295,4780,1,91,1728,915,697,483,24607,1
infoglmi-0.0.6.tar.gz,15157,15157,31,2492,4137,80,129,1802,866,834,430,11016,1
infoglmi-0.0.7.tar.gz,21329,21329,26,1744,4486,1,43,1319,788,474,455,18249,1
infoglmi-0.0.8.tar.gz,54646,54646,30,4087,5866,59,151,2948,2015,1094,789,47590,1
infogram,11766,11766,23,1696,2713,0,229,1099,689,803,149,8797,0
infohydra-7.67.tar.gz,25038,25038,25,1219,2819,0,39,834,954,36,204,22971,1
infoind,61714,61714,25,1435,5108,0,153,1024,875,1033,221,58408,0
infoindia,54996,54996,29,2419,5382,497,109,1045,1588,928,662,50167,0
infoint-8.20.tar.gz,25545,25545,28,1219,2872,0,40,862,967,38,208,23430,1
infolib,52347,52347,26,3098,5697,498,235,1407,1927,1158,719,46403,0
infonvidia-3.63.tar.gz,79884,79884,48,1366,3662,4,40,888,1440,88,377,77047,1
infoosint-5.29.tar.gz,82360,82360,61,1511,4788,8,41,886,2268,93,403,78661,1
infopaypal-10.91.tar.gz,68507,68507,39,1768,4156,0,41,851,2282,81,381,64871,1
infoping-3.83.tar.gz,25135,25135,28,1219,2843,0,38,862,925,36,205,23069,1
infopkg,47344,47344,26,2696,6276,357,1603,435,1090,653,680,42526,0
inform,29391,29391,27,1910,5250,497,93,645,1204,731,545,25676,0
infostat,7558,7558,44,404,1843,8,28,5,951,1190,308,5068,0
infostore,2760,2760,45,1906,761,1,200,1150,688,66,68,587,0
infosys-0.1.0.tar.gz,28342,28342,41,2697,4503,0,68,2254,1531,40,218,24231,1
infotr,61406,61406,44,4002,8197,502,103,2346,2107,116,684,55548,0
infrasys,53406,53406,25,1420,4924,0,115,852,1384,1237,681,49137,0
ingram,7492,7492,22,2590,4844,0,716,1302,896,51,108,4419,0
iniconfig,2786,2786,40,412,1764,4,24,177,571,76,143,1791,0
initialize,17135,17135,50,376,5203,4,24,93,759,1120,291,14844,0
initializers-0.0.1-py3-none-any.tar.gz,25174,25174,25,623,2683,0,17,518,627,33,141,23838,1
initpro,8132,8132,22,1458,1473,0,125,1002,2233,1230,151,3391,0
inject-emoji,11027,11027,25,1917,3633,0,27,1061,1321,1120,184,7314,0
inject-it,68205,68205,27,2644,6117,501,31,1265,1804,1150,642,62812,0
injector,22969,22969,25,228,3959,0,0,6,626,739,468,21130,0
inject-rem-0.0.1.tar.gz,84949,84949,60,2107,4946,4,109,1417,2265,90,393,80671,1
innerPrinter,42403,42403,22,5231,5890,0,94,4579,1179,1252,193,35106,0
insanepackage217234234242423442983-1.0.0.tar.gz,28298,28298,28,1945,3036,0,110,1412,1121,37,219,25399,1
insanepackage21724342386744243242983-1.0.0.tar.gz,28692,28692,27,1945,3071,0,109,1436,1127,36,221,25763,1
insanepackage217424422342983-1.0.0.tar.gz,88076,88076,32,1945,4301,0,109,1460,1955,85,306,84161,1
insanepackage2179824234242342433-1.0.0.tar.gz,72751,72751,27,1943,3163,0,110,1448,1263,75,219,69636,1
insanepackageongong11192-1.0.0.tar.gz,86942,86942,58,2031,5022,4,111,1415,2132,87,328,82865,1
insanepackageongong192-1.0.0.tar.gz,31225,31225,48,2092,3843,4,111,1481,1254,36,250,28089,1
insanepackagev1414-1.0.0.tar.gz,30200,30200,26,1945,3199,0,109,1508,1044,33,161,27345,1
instabot,5628,5628,15,2274,1240,0,545,1159,901,1110,122,1791,0
instabots-4.4.2.tar.gz,30846,30846,28,2124,3350,0,118,1672,1125,33,229,27669,1
instaffo-scikit-learn,4652,4652,37,142,911,0,31,99,505,1141,199,2677,0
instaget,5019,5019,16,1865,982,0,209,1288,647,1110,138,1627,0
instagram-python,52128,52128,25,3442,6210,497,369,1448,1902,1216,686,46010,0
install-crypto-4.18.5.tar.gz,85080,85080,43,4269,12965,60,173,3074,6435,805,4891,69642,1
installib,3687,3687,45,2015,2813,4,1337,334,549,50,122,1291,0
installify,30270,30270,32,5100,7364,0,184,4341,982,1233,175,23355,0
install-name,17809,17809,24,2958,5481,497,1350,462,1187,1013,596,12704,0
install-pip,34272,34272,22,1784,4688,497,21,570,1395,758,623,30408,0
installpippython-19.3.5.tar.gz,66438,66438,46,5948,12994,523,104,3416,6303,655,2443,52994,1
installpy-0.0.1.tar.gz,34535,34535,33,1986,4592,0,148,1591,1565,37,180,31014,1
install-pytest-1.12.7.tar.gz,57911,57911,30,5823,11575,500,182,3784,5187,855,1840,45563,1
install-pyyaml-1.19.12.tar.gz,78465,78465,29,5460,12143,515,97,3549,6609,897,4755,62043,1
install-scripts,4626,4626,23,1458,772,0,138,948,632,1116,116,1676,0
instapull,55684,55684,28,114,2080,0,22,74,560,1168,234,53626,0
instapush,4876,4876,23,1668,909,0,205,1090,612,1114,116,1739,0
instapy,59725,59725,25,3110,5667,497,207,1540,1967,1170,705,53639,0
intake,59881,59881,25,5356,7292,711,85,3264,2552,1052,794,51423,0
intc,30615,30615,42,2890,7146,503,195,1354,1700,1132,699,25032,0
intcontrol-1.90.tar.gz,33556,33556,25,1936,3524,0,38,1805,850,34,171,30658,1
intcontrol-8.93.tar.gz,45803,45803,44,4227,11606,22,67,3025,3869,427,777,37616,1
intelcraft-1.35.tar.gz,74138,74138,30,1219,2926,0,39,859,1205,83,283,71669,1
intelgrand-2.11.tar.gz,31763,31763,38,6401,6856,515,63,4906,2393,38,310,23538,1
intelgrand-4.35.tar.gz,25572,25572,28,1219,2932,0,38,882,916,51,211,23474,1
intelli,5083,5083,25,1595,1552,2,45,1519,398,1288,118,1713,0
intellib-1.63.tar.gz,42670,42670,28,6669,6413,515,69,4983,2345,41,633,34084,1
intellibitz,27963,27963,29,1452,4044,0,121,821,704,864,112,25341,0
intellifs,13097,13097,18,1736,4398,497,8,552,1028,340,438,10234,0
IntelliMaint,13516,13516,30,668,3563,0,103,339,577,1248,259,10990,0
intellino,5728,5728,41,1059,2146,4,131,497,736,1113,207,3040,0
intellipandora,9460,9460,24,610,2423,0,5,537,325,44,53,8496,0
intellipush,58056,58056,45,3836,7416,501,117,2162,2185,112,722,52257,0
intellisys,7720,7720,15,14,2621,0,4,4,46,124,23,7519,0
intelpong-7.65.tar.gz,74752,74752,29,6330,5934,507,64,4869,1996,75,312,66929,1
intelproof-6.66.tar.gz,28103,28103,34,1452,4170,0,40,923,1720,39,225,25156,1
intelpush-2.6.tar.gz,26867,26867,27,1221,3073,1,39,919,884,36,152,24836,1
intelpy-2.46.tar.gz,84639,84639,29,4553,5029,497,48,3203,1811,80,310,78690,1
intelpy-6.17.tar.gz,69980,69980,48,1366,3751,4,39,942,1301,68,296,67330,1
intelrand-6.87.tar.gz,61693,61693,27,2758,9472,12,60,2024,5068,251,2603,51675,1
intelstr-8.65.tar.gz,77107,77107,29,1219,3141,0,39,973,1135,76,223,74661,1
intelurls,9614,9614,29,1438,3566,2,119,874,947,103,207,7362,0
intelvisa-8.96.tar.gz,81676,81676,50,7224,6850,518,65,5688,2299,77,409,72620,1
intelxpy,55216,55216,40,3751,7457,501,413,1800,2451,1159,873,48019,0
intent,55612,55612,43,3656,7322,501,233,1873,2228,1004,783,48990,0
inter,6770,6770,42,1569,2131,4,150,870,953,1117,241,3435,0
interads,10298,10298,41,6385,5021,1,225,6115,437,1117,194,2209,0
intergrid,30123,30123,28,7194,5014,0,2641,8,17532,1068,729,8145,0
interlib,3186,3186,21,79,1897,0,4,50,131,123,83,2795,0
interprog,50559,50559,20,213,2567,0,32,164,690,1150,224,48299,0
intget-10.19.tar.gz,81739,81739,27,6643,6394,515,70,4960,2480,76,677,72961,1
inthacked-1.82.tar.gz,31802,31802,28,4942,5138,503,49,3550,1782,33,254,25631,1
intinfo,46969,46969,35,1838,6557,0,97,683,1736,1223,298,42932,0
intinput,24761,24761,21,2573,5976,497,24,1383,1214,347,575,20721,0
intint-7.72.tar.gz,61957,61957,28,1219,3191,0,38,979,1021,57,192,59670,1
intlib.py,2374,2374,20,1368,1706,0,109,1135,354,60,38,678,0
intlib-1.96.tar.gz,39664,39664,40,7147,7297,515,69,5797,2541,40,527,30175,1
intlib-9.3.tar.gz,29859,29859,25,1219,3216,0,39,1040,853,34,160,27733,1
intmc-9.52.tar.gz,82832,82832,36,7391,7628,515,70,5881,2978,76,630,72682,1
intnvidia-3.81.tar.gz,225218,225218,28,1219,7646,0,41,784,12618,1094,1056,209625,1
intpaypal-9.30.tar.gz,50759,50759,26,1956,3383,0,37,1746,925,44,177,47830,1
intpep-7.55.tar.gz,46823,46823,44,1527,4035,4,47,823,4804,1132,3583,36430,1
intperm,5282,5282,17,163,2075,0,5,122,294,357,54,4450,0
IntPy,17882,17882,43,4174,6187,4,178,3068,1988,1134,238,11272,0
intpyw-8.16.tar.gz,34900,34900,43,5037,11824,171,75,3163,4521,427,863,25680,1
intset,3705,3705,16,456,2005,0,124,279,354,461,104,2383,0
intstr,6370,6370,26,1333,1188,0,119,822,697,1128,205,3399,0
intstudy-4.10.tar.gz,27099,27099,32,3483,9133,56,143,2639,3056,635,576,19994,1
intver-1.63.tar.gz,57166,57166,31,5440,12598,508,74,3491,4686,976,2887,44544,1
intver-8.50.tar.gz,8563,8563,33,3523,3333,497,48,1964,1525,1035,248,3246,1
intype,36168,36168,43,2059,6094,505,28,509,1859,581,682,32004,0
investec-api-python,14461,14461,22,2666,4773,0,1484,1004,588,798,170,10417,0
invidia,23934,23934,23,2140,5536,497,25,877,1442,568,548,19977,0
invirtualenv,19912,19912,28,1993,5496,497,201,638,1224,61,568,16723,0
invoke,1051,1051,19,496,508,0,23,427,266,54,44,237,0
iobio,42092,42092,31,1908,4782,499,27,693,1587,1140,646,37500,0
iologger,4173,4173,23,731,1007,4,45,616,401,1226,124,1757,0
iosxe,7246,7246,16,1301,2920,0,348,599,498,55,121,5625,0
iotoolz,57320,57320,45,3900,7622,501,251,1684,2783,1247,942,49912,0
ipaddres-1.0.tar.gz,30390,30390,62,7304,8232,519,59,6266,2498,30,350,20668,1
ipaddress,19832,19832,44,517,2286,0,24,156,598,1135,307,17612,0
ipadress-1.0.tar.gz,4642,4642,26,974,1300,0,29,592,818,1036,153,2014,1
ipboards-9999.0.2.tar.gz,4574,4574,29,703,1327,0,30,431,748,1073,157,2135,1
ipdbplugin,3811,3811,18,730,575,0,233,328,402,1180,103,1565,0
ipfcolor,68180,68180,25,3225,6524,497,58,1809,1968,1142,782,61924,0
ipfslib,39956,39956,44,233,3994,4,1,18,691,738,277,38227,0
ipg-0.0-py3-none-any.tar.gz,14724,14724,47,3166,7937,22,49,2329,1748,565,534,9477,1
